custom_id,paper_id,claim_index,claim,support_level,support_refs
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,1,"Increasing penalties for law violations can induce temporary compliance (reduced violation rates), even if the long-run equilibrium violation rate is unchanged.",high,Abstract | Simulation results: The effectiveness of penalty increase | Policy implications and conclusions
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,2,"Game-theoretic equilibrium analysis may be a poor guide for policy because it ignores the dynamic, transient effects of interventions like penalty increases.",high,Abstract | Simulation results: Oscillation rather than equilibrium | Policy implications and conclusions
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,3,Automatic penalty management (adjusting penalties in response to violation rates) can reduce the amplitude of behavioral fluctuations and improve compliance stability.,medium,Simulation results: Effectiveness of automatic penalty management | Figures 7-9
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,4,"Information delays between players can prevent or prolong convergence to equilibrium, making penalty management more important for stabilizing behavior.",medium,"Simulation results: The effects of information delay | Figures 5-6, 9, 13"
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,1,"Punishment (retaliation) in strategies like TIT FOR TAT converts defection into spite, which can be evolutionarily suppressed when population structure allows for intergroup competition.",high,Abstract | SPITEFUL DEFECTION IN FINITE POPULATIONS | CONCLUSIONS: DISPERSAL AND INTERGROUP COMPETITION
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,2,"The efficiency (group productivity, average payoff) of cooperative groups with punishment is higher than groups with defectors, provided the population is partitioned into multiple groups or dyads.",high,EVOLUTIONARY STABILITY OF TFT IN FINITE POPULATIONS | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,3,"As the number of groups (or effective population structure) decreases, the range of conditions under which punishment can maintain cooperation and high efficiency shrinks; in a single group, punishment cannot prevent defection.",high,EVOLUTIONARY STABILITY OF TFT IN FINITE POPULATIONS | GENERALIZING TO THE N-PERSON PD | CONCLUSIONS: DISPERSAL AND INTERGROUP COMPETITION
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,4,Participation in multiple groups (high social centrality) by individuals increases the scope of spite and makes punishment less effective at maintaining efficiency.,medium,PARTICIPATION IN MULTIPLE DYADS | CONCLUSIONS: DISPERSAL AND INTERGROUP COMPETITION
10.1002_bdm.1810,10.1002_bdm.1810,1,Increasing descriptive information about interdependence (from none to full payoff matrix) in the IPD increases mutual cooperation and joint performance (efficiency).,high,RESULTS: Performance and satisfaction | Figure 3 | Figure 2 | DISCUSSION
10.1002_bdm.1810,10.1002_bdm.1810,2,The effect of information on joint performance is fully mediated by mutual cooperation.,high,RESULTS: Performance and satisfaction | Mediation analysis | DISCUSSION
10.1002_bdm.1810,10.1002_bdm.1810,3,"Punishment (defection after defection) is high and does not vary with information; increased efficiency is driven by reciprocation (cooperation after cooperation), not by changes in punishment.",high,RESULTS: Reciprocation and punishment | Figure 4 | DISCUSSION
10.1002_bdm.1810,10.1002_bdm.1810,4,Mere awareness of interdependence (Min-Info) is insufficient to increase cooperation or efficiency; observing others' actions and/or the payoff matrix is necessary.,high,RESULTS: Individual cooperation | RESULTS: Mutual cooperation | DISCUSSION
10.1002_bdm.1976,10.1002_bdm.1976,1,"The combination of inequality and instability in punishment power leads to a 'race for power', resulting in excessive punishment and lower group efficiency compared to equal, stable punishment power.",high,Abstract | Experiment 1 Results and Discussion | Experiment 2 Results and Discussion | General Discussion
10.1002_bdm.1976,10.1002_bdm.1976,2,Inequality in punishment power alone does not reduce group efficiency; instability is necessary for the detrimental effect.,high,Experiment 2 Results and Discussion | General Discussion
10.1002_bdm.1976,10.1002_bdm.1976,3,"When the strong punisher role is assigned based on prosocial behavior, the negative effect on efficiency is less pronounced, but resource waste through punishment still occurs.",medium,Experiment 3 Results and Discussion
10.1002_bdm.1976,10.1002_bdm.1976,4,"Weak players are especially likely to behave competitively and assign more punishment in unstable, unequal environments.",high,Experiment 1 Results | Experiment 2 Results | Experiment 3 Results
10.1002_bdm.2012,10.1002_bdm.2012,1,"Participants spend more money punishing defecting female partners than male partners, but this is due to higher cooperation rates with female partners, not a direct effect of partner gender on punishment.",high,Experiment 1 Results | Model-based analysis (Experiment 1) | General Discussion
10.1002_bdm.2012,10.1002_bdm.2012,2,"When controlling for the opportunity to punish (i.e., conditional on cooperation), there is no direct effect of partner gender on the probability or harshness of punishment.",high,"Model-based analysis (Experiments 1, 2, 3) | Harshness of moralistic punishment (Experiments 1, 2, 3) | General Discussion"
10.1002_bdm.2012,10.1002_bdm.2012,3,"Female participants are more likely to cooperate with and punish female partners than male participants, while male participants do not differentiate by partner gender.",high,Experiment 2 Results | Experiment 3 Results | General Discussion
10.1002_bdm.2012,10.1002_bdm.2012,4,"The presence of punishment by partners increases cooperation rates, indicating that moralistic punishment is effective in increasing cooperation.",medium,Experiment 3 Discussion | General Discussion
10.1002_bdm.2012,10.1002_bdm.2012,5,"Punishment is used frequently even when it is costly and provides no direct benefit, especially by female participants.",high,Experiment 2 and 3 Results | General Discussion
10.1002_bdm.2050,10.1002_bdm.2050,1,"Standard peer punishment increases cooperation but reduces total group payoff compared to no punishment, due to the costs of punishment.",high,Abstract | Results | Table 1 | Discussion
10.1002_bdm.2050,10.1002_bdm.2050,2,"Democratic peer punishment further increases cooperation and results in higher total group payoff than standard peer punishment, by reducing both total and antisocial punishment.",high,Abstract | Results | Table 1 | Discussion
10.1002_bdm.2050,10.1002_bdm.2050,3,"Over six rounds, both punishment systems are less efficient than no punishment, but democratic peer punishment's efficiency increases over time and may surpass no-punishment in the long run.",medium,Results: Total payoff between game versions | Figure 2 | Discussion
