custom_id,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type,dimension_contextual_or_better_count,dimension_informative_direct_count
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,5,5
10.1002_ajpa.1330770407,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,7,3
10.1002_bdm.1810,empirical,experimental,lab_experiment,adjacent,adjacent,exact,efficiency_or_payoff,7,7
10.1002_bdm.1976,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,10,10
10.1002_bdm.2012,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,8,8
10.1002_bdm.2050,empirical,experimental,lab_experiment,exact,exact,exact,mixed,10,10
10.1002_bdm.2110,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,13,13
10.1002_bdm.2208,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,11,11
10.1002_bdm.2243,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,12,12
10.1002_bdm.2273,empirical,experimental,lab_experiment,adjacent,adjacent,exact,efficiency_or_payoff,7,7
10.1002_cplx.20244,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,6,1
10.1002_cplx.20289,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,3,3
10.1002_ejsp.227,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,5,5
10.1002_ejsp.3171,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,1,1
10.1002_ejsp.506,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,7,1
10.1002_evan.21430,theory,N/A,N/A,exact,exact,exact,efficiency_or_payoff,5,2
10.1002_evan.21944,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior,4,0
10.1002_hbm.21298,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,11,11
10.1002_hbm.25874,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,10
10.1002_ijop.12257,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,7,7
10.1002_ird.2704,empirical,experimental,field_experiment,close,exact,close,non_payoff_behavior,3,3
10.1002_mde.2877,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,10
10.1002_mde.4492,empirical,experimental,lab_experiment,adjacent,adjacent,close,non_payoff_behavior,7,7
10.1002_pchj.259,empirical,experimental,lab_experiment,exact,exact,close,mixed,12,12
10.1002_per.474,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,10,3
10.1002_per.830,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,9,9
10.1002_soej.12391,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior,7,7
10.1002_soej.12487,empirical,experimental,lab_experiment,close,adjacent,close,non_payoff_behavior,11,11
