custom_id,paper_id,claim_index,claim,support_level,support_refs
10.1007_s00355-014-0867-y,10.1007_s00355-014-0867-y,1,Public disclosure of individual withdrawals and payoffs (monitoring) in the absence of formal punishment leads to higher withdrawal rates (lower cooperation) in a repeated common pool resource game.,high,Section 3 Hypothesis testing and descriptive findings | Table 4 | Section 4 Econometric analysis | Section 5 Conclusions
10.1007_s00355-014-0867-y,10.1007_s00355-014-0867-y,2,"The divergence in withdrawal rates between public and restricted information treatments increases over rounds, indicating a downward cascade of cooperation.",high,Table 4 | Section 3 Hypothesis testing and descriptive findings | Section 5 Conclusions
10.1007_s00355-014-0867-y,10.1007_s00355-014-0867-y,3,"Conditional cooperation and/or conformity are important drivers of behavior when information is disclosed, but in the absence of sanctions, this leads to lower cooperation.",medium,Section 4 Econometric analysis | Section 5 Conclusions
10.1007_s00355-014-0867-y,10.1007_s00355-014-0867-y,4,The absence of formal punishment means that monitoring alone can worsen the tragedy of the commons.,high,Section 1 Introduction | Section 5 Conclusions
10.1016_j.chaos.2021.110871,10.1016_j.chaos.2021.110871,1,Cooperation in public goods games on coevolving networks is best sustained by a moderate fit between disconnection from similar payoff and connection to different payoff.,high,Section 3 Results and discussion | Fig. 7 | Conclusion
10.1016_j.chaos.2021.110871,10.1016_j.chaos.2021.110871,2,Time-dependent (coevolving) networks generally make it harder to sustain cooperation compared to static networks.,medium,Section 3 Results and discussion | Conclusion
10.1016_j.chaos.2021.110871,10.1016_j.chaos.2021.110871,3,"Strong network cohesion (high clustering coefficient) emerges near the tipping point of cooperation, facilitating the transition to higher cooperation.",medium,"Section 3 Results and discussion | Figs. 2, 5, 6 | Conclusion"
10.1016_j.jtbi.2007.01.024,10.1016_j.jtbi.2007.01.024,1,"Cooperation is favored by natural selection in structured populations if the benefit-to-cost ratio exceeds a threshold determined by the structure of the interaction and replacement graphs (e.g., b/c > h g / l for death-birth updating).",high,Abstract | Section 3.2 The Prisoner's Dilemma | Section 4.1 Prisoner's Dilemma | Discussion
10.1016_j.jtbi.2007.01.024,10.1016_j.jtbi.2007.01.024,2,"Maximum overlap between interaction and replacement graphs (i.e., identical graphs) is optimal for the evolution of cooperation.",high,Abstract | Section 3.2 | Discussion
10.1016_j.jtbi.2007.01.024,10.1016_j.jtbi.2007.01.024,3,"The effect of population structure on cooperation is robust across different update rules, but the specific threshold for cooperation depends on the update mechanism.",high,Section 3.2 | Section 4.1 | Discussion
10.1016_j.jtbi.2007.01.024,10.1016_j.jtbi.2007.01.024,4,"The paper does not consider punishment, reward, or sanctioning mechanisms.",high,Full text (no mention of punishment or sanctions)
