kind,uncertainty_basis,model,k,mean_delta_correlation,mean_se,median_se,observed_sd,noise_sd,tau_simple,heterogeneity_share_simple,observed_to_noise_sd_ratio,tau_dl,tau2_dl,i2_dl,Q_dl,Q_df_dl,Q_p_dl
papers,question_bootstrap,GPT-5 Mini,2011,0.03175342244622586,0.07615444136531413,0.06738325115212546,0.05923157437362552,0.08382083294220168,0.0,0.0,0.7066450224190497,0.0,0.0,0.0,955.9238929639827,2010,1.0
papers,question_bootstrap,GPT-5 Nano,2011,0.03408310663900726,0.06885339143894885,0.06261492936865867,0.06498831383090073,0.07515708444018514,0.0,0.0,0.8646997726824093,0.0,0.0,0.0,959.7269942860893,2010,1.0
papers,question_bootstrap,GPT-4.1,2011,0.038464172033796866,0.05318082134128136,0.047686600640981014,0.044131129515694215,0.05656010578074881,0.0,0.0,0.7802518914438628,0.0,0.0,0.0,958.159843720975,2010,1.0
papers,question_bootstrap,GPT-4.1 Mini,2011,-0.022464936793732806,0.04922700584807616,0.04347615061798663,0.05376988941468601,0.05399208818815241,0.0,0.0,0.9958846049315211,0.0,0.0,0.0,1400.0861636913933,2010,1.0
papers,question_bootstrap,GPT-5.1,2011,-0.074659442686192,0.06863180479514493,0.06630527450091864,0.06704115578866958,0.07118304395744311,0.0,0.0,0.9418135564524359,0.0,0.0,0.0,1673.3225471450974,2010,0.9999999909229179
collections,question_bootstrap,GPT-5 Mini,716,0.04521420483849762,0.06502565052035279,0.060380681284732535,0.05620825811956018,0.06975490932283696,0.0,0.0,0.8057964473786254,0.0,0.0,0.0,400.37843385561695,715,1.0
collections,question_bootstrap,GPT-5 Nano,716,0.058702294795813764,0.08484085356440149,0.08380387978868248,0.052360587050893914,0.08773943198969408,0.0,0.0,0.596773718082016,0.0,0.0,0.0,248.04530553192967,715,1.0
collections,question_bootstrap,GPT-4.1,715,0.060793943296655266,0.06028487052502766,0.05528185156486613,0.05961507254757301,0.0644846780039099,0.0,0.0,0.9244843022083226,0.0,0.0,0.0,660.8576500174688,714,0.9229254901566919
collections,question_bootstrap,GPT-4.1 Mini,716,0.004556134458360288,0.05197182332614136,0.049610268749347194,0.05509639272876416,0.05532182400345884,0.0,0.0,0.9959250932384192,0.0,0.0,0.0,636.1222410739658,715,0.9842271689907611
collections,question_bootstrap,GPT-5.1,716,-0.11714146037187674,0.0789507915035124,0.07777114698691684,0.07461303515024374,0.08103069586747924,0.0,0.0,0.9207996346504146,0.0,0.0,0.0,608.0411854016381,715,0.9984884551723705
papers,repeat_noise,GPT-5 Mini,1994,0.009753442369401455,0.023235630244016647,0.020849166437983513,0.05759146083679804,0.026859421872580187,0.050944556313576854,0.7824910501222636,2.144180954825058,0.016666802018636382,0.00027778228952842176,0.8815268768041644,16822.380859375,1993,0.0
papers,repeat_noise,GPT-5 Nano,1839,0.01657097600400448,0.0230893325060606,0.018420113250613213,0.05793695296231953,0.029892695069045353,0.04962980253907018,0.7337933856128054,1.9381642514500046,0.008154033727811436,6.648826603428646e-05,0.8493571285815673,12201.0419921875,1838,0.0
papers,repeat_noise,GPT-4.1,1992,0.03126208484172821,0.015966035425662994,0.014501610770821571,0.04315704168856241,0.018297114213508513,0.0390863896870271,0.8202529118514998,2.3586802369468813,0.024401120124570398,0.0005954146633337145,0.9406865449565653,33567.42578125,1991,0.0
papers,repeat_noise,GPT-4.1 Mini,2010,-0.03821292892098427,0.021189279854297638,0.017316486686468124,0.0571584869487213,0.025735717631146526,0.051036903004365745,0.7972732221137088,2.2209789432700924,0.033497943901780326,0.0011221122456468219,0.8802408344375595,16775.333984375,2009,0.0
papers,repeat_noise,GPT-5.1,2009,-0.11596809327602386,0.035795994102954865,0.03413189575076103,0.06476877327389158,0.038986758472686955,0.05172065984881809,0.6376711529690084,1.6613018319865394,0.060407277748957044,0.003649039205039641,0.8567278027392954,14015.2802734375,2008,0.0
collections,repeat_noise,GPT-5 Mini,713,0.026071947067975998,0.021875977516174316,0.020493822172284126,0.05350738665591893,0.024211500990330464,0.04771628282401342,0.7952537537616907,2.2099987389170375,0.040638859514265845,0.0016515169026202357,0.8720873336305321,5566.2978515625,712,0.0
collections,repeat_noise,GPT-5 Nano,708,0.03184502199292183,0.026834536343812943,0.024235188961029053,0.050033134232863145,0.03089047630947923,0.03935851870354377,0.6188167653088539,1.619694488735018,0.02693823691507442,0.0007256686080926782,0.8050717247943436,3626.97509765625,707,0.0
collections,repeat_noise,GPT-4.1,713,0.051650796085596085,0.01605265773832798,0.015152097679674625,0.05677203850093985,0.017713751205886086,0.05393781024261335,0.9026463802239926,3.204969847497639,0.046153592459817275,0.002130154096946902,0.9527387750474516,15065.2041015625,712,0.0
collections,repeat_noise,GPT-4.1 Mini,715,-0.009758983738720417,0.020253196358680725,0.017925981432199478,0.05468285276898878,0.023218819798217667,0.04950859313425093,0.819707377780657,2.3551090556801846,0.04922068802897995,0.0024226761300461704,0.9415282800132053,12211.03125,714,0.0
collections,repeat_noise,GPT-5.1,714,-0.142114520072937,0.031432826071977615,0.029659949243068695,0.07096184464563271,0.0339407093594701,0.06231862998884756,0.7712337059394204,2.0907590319950993,0.06466019202209104,0.004180940432333686,0.8930503577173093,6666.68896484375,713,0.0
