feature_key,feature_label,mean_importance,sd_importance,n_folds,se_importance,feature_group
collection_size,Number of Papers,11.627526300370796,3.1087613938478964,5,1.3902803604941785,Collection Characteristics
empirical_share,Empirical Papers,6.646304936364679,1.0400894661333584,5,0.46514214979113094,Paper Type
citation,Citation,3.4115088308359143,1.606260430458086,5,0.7183415024144708,Journal Quality / Attention
mathphysics_share,Math/Physics Journals,2.8775043900561634,0.995175280237038,5,0.445055915227484,Journal Discipline
recent,Publication Year,2.76708635036879,1.3679187561565467,5,0.6117518652925994,Journal Quality / Attention
psychology_share,Psychology Journals,1.416847906155401,0.3877037361374411,5,0.173386381826792,Journal Discipline
journal_impact,Journal Impact Factor,1.3700487836452664,1.5736099168452022,5,0.7037397488267327,Journal Quality / Attention
multidisciplinary_share,Multidisciplinary Journals,0.7571206582182787,0.4347542132083306,5,0.1944279948476528,Journal Discipline
biology_share,Biology Journals,0.31729906906985855,0.5378857468319655,5,0.24054981880890342,Journal Discipline
economics_share,Economics Journals,0.2705492911753876,0.5676403837311315,5,0.2538564969593751,Journal Discipline
