kind,model_a,model_b,epsilon,informative_pair_coverage
papers,GPT-5.1,GPT-4.1 Mini,0.06,0.17711046953200185
papers,GPT-5.1,GPT-4.1,0.06,0.13370343706628468
papers,GPT-5.1,GPT-5 Nano,0.06,0.16678467434087643
papers,GPT-5.1,GPT-5 Mini,0.06,0.18758668121352462
papers,GPT-4.1 Mini,GPT-4.1,0.06,0.12130149847480648
papers,GPT-4.1 Mini,GPT-5 Nano,0.06,0.14094025150230943
papers,GPT-4.1 Mini,GPT-5 Mini,0.06,0.15731585731214637
papers,GPT-4.1,GPT-5 Nano,0.06,0.1094740123351418
papers,GPT-4.1,GPT-5 Mini,0.06,0.1229778506769979
papers,GPT-5 Nano,GPT-5 Mini,0.06,0.14955209036864409
collections,GPT-5.1,GPT-4.1 Mini,0.06,0.238110908699144
collections,GPT-5.1,GPT-4.1,0.06,0.25341325341325344
collections,GPT-5.1,GPT-5 Nano,0.06,0.1995847289964937
collections,GPT-5.1,GPT-5 Mini,0.06,0.21113004642416408
collections,GPT-4.1 Mini,GPT-4.1,0.06,0.22628352040116745
collections,GPT-4.1 Mini,GPT-5 Nano,0.06,0.1621985857279975
collections,GPT-4.1 Mini,GPT-5 Mini,0.06,0.17052359405300582
collections,GPT-4.1,GPT-5 Nano,0.06,0.16432978785919963
collections,GPT-4.1,GPT-5 Mini,0.06,0.18088969853675735
collections,GPT-5 Nano,GPT-5 Mini,0.06,0.13983271630330454
